TargetName	Module	CodeClass	GeneID	SystematicName	Negative	DetectedSegments	DetectionRate
QDPR	Hs_R_NGS_WTA_v1.0	Endogenous	5860	QDPR	FALSE	58	0.2885572139303483
RB1	Hs_R_NGS_WTA_v1.0	Endogenous	5925	RB1	FALSE	121	0.6019900497512438
PITX2	Hs_R_NGS_WTA_v1.0	Endogenous	5308	PITX2	FALSE	36	0.1791044776119403
ATXN1	Hs_R_NGS_WTA_v1.0	Endogenous	6310	ATXN1	FALSE	150	0.746268656716418
SLC12A1	Hs_R_NGS_WTA_v1.0	Endogenous	6557	SLC12A1	FALSE	68	0.3383084577114428
SLC2A2	Hs_R_NGS_WTA_v1.0	Endogenous	6514	SLC2A2	FALSE	33	0.16417910447761194
SLC3A1	Hs_R_NGS_WTA_v1.0	Endogenous	6519	SLC3A1	FALSE	100	0.4975124378109453
SLC4A1	Hs_R_NGS_WTA_v1.0	Endogenous	6521	SLC4A1	FALSE	32	0.15920398009950248
SLC5A1	Hs_R_NGS_WTA_v1.0	Endogenous	6523	SLC5A1	FALSE	22	0.10945273631840796
SMN1	Hs_R_NGS_WTA_v1.0	Endogenous	6606, 6607	SMN2, SMN1	FALSE	156	0.7761194029850746
SNCA	Hs_R_NGS_WTA_v1.0	Endogenous	6622	SNCA	FALSE	132	0.6567164179104478
ABCC8	Hs_R_NGS_WTA_v1.0	Endogenous	6833	ABCC8	FALSE	26	0.12935323383084577
TCN2	Hs_R_NGS_WTA_v1.0	Endogenous	6948	TCN2	FALSE	130	0.6467661691542289
TCOF1	Hs_R_NGS_WTA_v1.0	Endogenous	6949	TCOF1	FALSE	30	0.14925373134328357
THBD	Hs_R_NGS_WTA_v1.0	Endogenous	7056	THBD	FALSE	80	0.39800995024875624
TIMP3	Hs_R_NGS_WTA_v1.0	Endogenous	7078	TIMP3	FALSE	201	1
TPI1	Hs_R_NGS_WTA_v1.0	Endogenous	7167	TPI1	FALSE	201	1
TPM1	Hs_R_NGS_WTA_v1.0	Endogenous	7168	TPM1	FALSE	199	0.9900497512437811
TPMT	Hs_R_NGS_WTA_v1.0	Endogenous	7172	TPMT	FALSE	134	0.6666666666666666
TSC1	Hs_R_NGS_WTA_v1.0	Endogenous	7248	TSC1	FALSE	47	0.23383084577114427
TTR	Hs_R_NGS_WTA_v1.0	Endogenous	7276	TTR	FALSE	21	0.1044776119402985
UROS	Hs_R_NGS_WTA_v1.0	Endogenous	7390	UROS	FALSE	67	0.3333333333333333
VDR	Hs_R_NGS_WTA_v1.0	Endogenous	7421	VDR	FALSE	54	0.26865671641791045
WAS	Hs_R_NGS_WTA_v1.0	Endogenous	7454	WAS	FALSE	47	0.23383084577114427
WT1	Hs_R_NGS_WTA_v1.0	Endogenous	7490	WT1	FALSE	131	0.6517412935323383
XPA	Hs_R_NGS_WTA_v1.0	Endogenous	7507	XPA	FALSE	84	0.417910447761194
MID1	Hs_R_NGS_WTA_v1.0	Endogenous	4281	MID1	FALSE	30	0.14925373134328357
AIRE	Hs_R_NGS_WTA_v1.0	Endogenous	326	AIRE	FALSE	48	0.23880597014925373
APOB	Hs_R_NGS_WTA_v1.0	Endogenous	338	APOB	FALSE	29	0.14427860696517414
BLMH	Hs_R_NGS_WTA_v1.0	Endogenous	642	BLMH	FALSE	87	0.43283582089552236
SLC25A20	Hs_R_NGS_WTA_v1.0	Endogenous	788	SLC25A20	FALSE	79	0.39303482587064675
CDKN1A	Hs_R_NGS_WTA_v1.0	Endogenous	1026	CDKN1A	FALSE	163	0.8109452736318408
TPP1	Hs_R_NGS_WTA_v1.0	Endogenous	1200	TPP1	FALSE	190	0.945273631840796
COL5A2	Hs_R_NGS_WTA_v1.0	Endogenous	1290	COL5A2	FALSE	81	0.40298507462686567
CRYAA	Hs_R_NGS_WTA_v1.0	Endogenous	1409, 102724652	CRYAA2, CRYAA	FALSE	51	0.2537313432835821
CSF2RB	Hs_R_NGS_WTA_v1.0	Endogenous	1439	CSF2RB	FALSE	37	0.18407960199004975
CTSK	Hs_R_NGS_WTA_v1.0	Endogenous	1513	CTSK	FALSE	24	0.11940298507462686
CYBB	Hs_R_NGS_WTA_v1.0	Endogenous	1536	CYBB	FALSE	35	0.17412935323383086
CYB5R3	Hs_R_NGS_WTA_v1.0	Endogenous	1727	CYB5R3	FALSE	201	1
ERCC2	Hs_R_NGS_WTA_v1.0	Endogenous	2068	ERCC2	FALSE	51	0.2537313432835821
G6PD	Hs_R_NGS_WTA_v1.0	Endogenous	2539	G6PD	FALSE	65	0.32338308457711445
GLB1	Hs_R_NGS_WTA_v1.0	Endogenous	2720	GLB1	FALSE	61	0.3034825870646766
GM2A	Hs_R_NGS_WTA_v1.0	Endogenous	2760	GM2A	FALSE	134	0.6666666666666666
HLCS	Hs_R_NGS_WTA_v1.0	Endogenous	3141	HLCS	FALSE	33	0.16417910447761194
HSD17B4	Hs_R_NGS_WTA_v1.0	Endogenous	3295	HSD17B4	FALSE	161	0.8009950248756219
IFNGR1	Hs_R_NGS_WTA_v1.0	Endogenous	3459	IFNGR1	FALSE	182	0.9054726368159204
IL2RA	Hs_R_NGS_WTA_v1.0	Endogenous	3559	IL2RA	FALSE	22	0.10945273631840796
IL4R	Hs_R_NGS_WTA_v1.0	Endogenous	3566	IL4R	FALSE	125	0.6218905472636815
ITGA2B	Hs_R_NGS_WTA_v1.0	Endogenous	3674	ITGA2B	FALSE	28	0.13930348258706468
PAFAH1B1	Hs_R_NGS_WTA_v1.0	Endogenous	5048	PAFAH1B1	FALSE	192	0.9552238805970149
MVK	Hs_R_NGS_WTA_v1.0	Endogenous	4598	MVK	FALSE	75	0.373134328358209
NCF2	Hs_R_NGS_WTA_v1.0	Endogenous	4688	NCF2	FALSE	63	0.31343283582089554
NEU1	Hs_R_NGS_WTA_v1.0	Endogenous	4758	NEU1	FALSE	135	0.6716417910447762
NOTCH3	Hs_R_NGS_WTA_v1.0	Endogenous	4854	NOTCH3	FALSE	157	0.7810945273631841
OXCT1	Hs_R_NGS_WTA_v1.0	Endogenous	5019	OXCT1	FALSE	30	0.14925373134328357
PAFAH2	Hs_R_NGS_WTA_v1.0	Endogenous	5051	PAFAH2	FALSE	64	0.31840796019900497
PLEC	Hs_R_NGS_WTA_v1.0	Endogenous	5339	PLEC	FALSE	200	0.9950248756218906
PSEN2	Hs_R_NGS_WTA_v1.0	Endogenous	5664	PSEN2	FALSE	76	0.3781094527363184
RFX5	Hs_R_NGS_WTA_v1.0	Endogenous	5993	RFX5	FALSE	68	0.3383084577114428
SLC5A5	Hs_R_NGS_WTA_v1.0	Endogenous	6528	SLC5A5	FALSE	27	0.13432835820895522
STK11	Hs_R_NGS_WTA_v1.0	Endogenous	6794	STK11	FALSE	94	0.46766169154228854
TEK	Hs_R_NGS_WTA_v1.0	Endogenous	7010	TEK	FALSE	112	0.5572139303482587
UBE3A	Hs_R_NGS_WTA_v1.0	Endogenous	7337	UBE3A	FALSE	62	0.30845771144278605
PEX1	Hs_R_NGS_WTA_v1.0	Endogenous	5189	PEX1	FALSE	28	0.13930348258706468
TWIST1	Hs_R_NGS_WTA_v1.0	Endogenous	7291	TWIST1	FALSE	36	0.1791044776119403
AK1	Hs_R_NGS_WTA_v1.0	Endogenous	203	AK1	FALSE	129	0.6417910447761194
ALB	Hs_R_NGS_WTA_v1.0	Endogenous	213	ALB	FALSE	32	0.15920398009950248
ALPL	Hs_R_NGS_WTA_v1.0	Endogenous	249	ALPL	FALSE	52	0.25870646766169153
AMH	Hs_R_NGS_WTA_v1.0	Endogenous	268	AMH	FALSE	49	0.24378109452736318
AMPD3	Hs_R_NGS_WTA_v1.0	Endogenous	272	AMPD3	FALSE	24	0.11940298507462686
AMT	Hs_R_NGS_WTA_v1.0	Endogenous	275	AMT	FALSE	24	0.11940298507462686
APP	Hs_R_NGS_WTA_v1.0	Endogenous	351	APP	FALSE	201	1
APRT	Hs_R_NGS_WTA_v1.0	Endogenous	353	APRT	FALSE	96	0.47761194029850745
AQP2	Hs_R_NGS_WTA_v1.0	Endogenous	359	AQP2	FALSE	48	0.23880597014925373
ARSA	Hs_R_NGS_WTA_v1.0	Endogenous	410	ARSA	FALSE	65	0.32338308457711445
ATRX	Hs_R_NGS_WTA_v1.0	Endogenous	546	ATRX	FALSE	200	0.9950248756218906
C1QB	Hs_R_NGS_WTA_v1.0	Endogenous	713	C1QB	FALSE	131	0.6517412935323383
CFTR	Hs_R_NGS_WTA_v1.0	Endogenous	1080	CFTR	FALSE	26	0.12935323383084577
COL4A5	Hs_R_NGS_WTA_v1.0	Endogenous	1287	COL4A5	FALSE	151	0.7512437810945274
CYP11B1	Hs_R_NGS_WTA_v1.0	Endogenous	1584, 1585	CYP11B2, CYP11B1	FALSE	40	0.19900497512437812
